latitude,longitude,frp
-16.9878,142.78519,10.1
-16.98884,142.78049,10.1
-16.98073,142.78859,22.2
-16.98177,142.78387,10.1
-16.97469,142.78725,2.2
-16.96865,142.7859,2.2
-16.10762,136.93871,7.3
-16.17886,136.55275,7.9
-16.17957,136.54886,4.2
-16.10338,136.9379,6.9
-16.17472,136.55197,6.5
-16.09913,136.93709,6.9
-16.17058,136.55118,6.5
-16.09489,136.93629,5.5
-16.09565,136.93219,5.5
-16.16645,136.55038,7.7
-16.09141,136.93138,5.5
-16.16232,136.54959,7.7
-16.10043,136.93745,5.7
-16.16917,136.5506,8.5
-16.09618,136.93663,5.7
-16.09691,136.93254,5.7
-16.16504,136.5498,8.5
-16.09194,136.93582,4.4
-16.09267,136.93173,4.4
-16.1609,136.54901,4
-16.08843,136.93089,4.4
-16.08916,136.9268,4.3
-16.15676,136.54823,4
-16.15331,136.54359,7.8
-16.14641,136.53432,2.2
-16.03275,136.89911,4.2
-14.87191,142.20509,5.5
-14.8729,142.20039,5.5
-14.8608,142.19774,4.3
-16.00382,136.3252,3.6
-15.99973,136.32442,2.9
-15.83308,137.04965,8.2
-15.82878,137.04881,2.8
-14.80475,142.16246,4.8
-14.80574,142.15775,4.8
-14.79869,142.16119,11.4
-14.79968,142.15646,11.4
-15.68778,136.65439,1.9
-15.73487,136.17696,10.6
-14.30271,143.42413,6.6
-15.73353,136.1844,3.9
-15.7342,136.18068,10.6
-15.72946,136.18364,3.9
-16.99505,128.13432,5
-16.99562,128.13008,6.3
-16.98977,128.14619,8
-16.95867,128.13316,7.3
-16.95714,128.13354,9.5
-17.17816,125.33027,4.5
-17.17866,125.32624,4.5
-17.17345,125.33366,8.1
-17.17445,125.3256,18.8
-17.17495,125.32162,14.1
-17.16974,125.329,18.8
-17.16924,125.33303,8.1
-17.17024,125.325,18.8
-17.34535,123.75222,24.6
-14.0481,143.17326,9.4
-14.0416,143.17181,9.4
-15.485,135.59381,2.8
-15.48593,135.58859,4
-15.48013,135.59831,5.3
-15.48105,135.59309,5.3
-15.47618,135.59758,5.3
-15.4713,135.60208,3.4
-15.46735,135.60136,3.4
-15.4634,135.60063,4.8
-15.45852,135.60513,4.8
-15.45945,135.59991,4.8
-15.47702,135.60118,6.2
-15.47792,135.59595,6.2
-15.47307,135.60045,6.2
-15.46912,135.59973,10.5
-15.46032,135.6035,6.3
-15.45547,135.608,6.3
-15.45638,135.60277,6.3
-15.45062,135.61249,8.2
-15.45152,135.60727,13.9
